File Type,File Name,Current Supplier,Issue Type,Recommended Action,Priority
JSON,B10-MJB2-BK.json,阳江骏业工贸有限公司,Incorrect Suffix,Sync from Excel after fixing,3
JSON,B10-MJB2-BK2.json,阳江骏业工贸有限公司,Incorrect Suffix,Sync from Excel after fixing,3
JSON,B10-MJQ1-BU.json,宁波市艾盛电器有限公司,Incorrect Suffix,Sync from Excel after fixing,3
JSON,B10-MJQ1-PK-01.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,B10-MJQ1-PK.json,宁波市艾盛电器有限公司,Incorrect Suffix,Sync from Excel after fixing,3
JSON,B10-ZMS3D-BR.json,吉秀制刷,Missing Suffix,Sync from Excel after fixing,3
JSON,B10-ZMS3D-NEW.json,吉秀制刷,Missing Suffix,Sync from Excel after fixing,3
JSON,BB101-2-1.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,BB101-2.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,BB101-3.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,EC-D1-CYAN.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,EC-D1-GREEN.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,EC-X2-PINK.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,EC04-GREEN.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,EC04-NATURAL.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,EC404-2-4.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,ECSB-8-1.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,FSC-WB01.json,宁波泰友进出口有限公司,Not in ERP,Sync from Excel after fixing,4
JSON,FSC-WB02.json,N/A,Placeholder,Sync from Excel after fixing,4
JSON,NW-GRAY1.json,N/A,Placeholder,Sync from Excel after fixing,4
JSON,NW-GRAY2.json,N/A,Placeholder,Sync from Excel after fixing,4
JSON,ST1122-4.json,XX印刷厂,Generic Placeholder,Sync from Excel after fixing,2
JSON,AM413-2-1.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-D1-NATURAL.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-D1-PINK.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-P3-CYAN.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-P3-GREEN.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-P3-NATURAL.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-P3-PINK.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-X2-CYAN.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-X2-GREEN.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC-X2-NATURAL.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-1-GR.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-1-PK.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-2-GR.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-2-PK.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-3-GR.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-3-PK.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-4-GR.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC301-4-PK.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC401-3.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC403-3.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC403.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC404-2-1-2.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC404-2-2-2.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC404-2-3-2.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC404-2-4-2.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC405-2-Grey.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC405-2-Pink.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
JSON,EC405-3-Blue.json,(BLANK),Blank Supplier,Sync from Excel after fixing,1
